Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
agar,1790,2,22,HEAD(350); MIND(217); ABDOMEN(188); STOMACH(159); EYE(124); FACE(120),"AGGLUTINATED | ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / after | ANXIETY, flatus, from (agg.) / during (See Dreams) | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / menses, after | ANXIETY, flatus, from (agg.) / noise, from | ANXIETY, flatus, from (agg.) / waking, on | ANXIETY, flatus, from (agg.) / which prevents sleep | CHOKING, clothing agg. / clothing agg. | CHOKING, clothing agg. / Œsophagus | CLOTHING agg. | COLD agg. / amel. | CONFUSION, thinking of it agg. / amel.","AIR, open, in / amel. | ANXIETY, evening, bed, in (agg.) / amel. | COLD agg. / amel. | CONFUSION of mind (See Concentration) / amel. | CONFUSION, thinking of it agg. / amel. | ERUCTATIONS / ameliorate | FOREIGN body, sensation of (See Lump) / does not amel. | FULLNESS, morning, 10 a.m. to 10 p.m. / amel. | HEAT, cold water, amel. / coldness of body, with | HEAT, cold water, amel. / transient | HOUSE, in / amel. | ITCHING / amel. | ITCHING in / boring with finger, amel. | ITCHING in / does not amel. | ITCHING of scalp / amel.","ABSENT-MINDED (See Forgetful) | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANSWERS, abruptly, shortly, curtly / aversion to | ANSWERS, abruptly, shortly, curtly / refuses to | ANSWERS, abruptly, shortly, curtly / sings, talks, but will not answer questions | ANXIETY | ANXIETY / evening | ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, flatus, from (agg.) / after | ANXIETY, flatus, from (agg.) / during (See Dreams) | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / menses, after | ANXIETY, flatus, from (agg.) / noise, from","[g2|MIND] ANSWERS, abruptly, shortly, curtly / aversion to | [g2|MIND] ANSWERS, abruptly, shortly, curtly / sings, talks, but will not answer questions | [g2|MIND] ANSWERS, abruptly, shortly, curtly / refuses to | [g2|MIND] ANXIETY, evening, bed, in (agg.) / amel. | [g2|MIND] ANXIETY, flatus, from (agg.) / after | [g2|MIND] ANXIETY, flatus, from (agg.) / which prevents sleep | [g2|MIND] ANXIETY, flatus, from (agg.) / noise, from | [g2|MIND] ANXIETY, flatus, from (agg.) / menses, after | [g2|MIND] BUSINESS, averse to | [g2|MIND] CHAOTIC | [g2|MIND] CHEERFUL, daytime / evening | [g2|MIND] CONFUSION of mind (See Concentration) / afternoon | [g2|MIND] CONFUSION of mind (See Concentration) / air, in open | [g2|MIND] CONFUSION of mind (See Concentration) / eating, after | [g2|MIND] CONFUSION of mind (See Concentration) / amel. | [g2|MIND] CONFUSION of mind (See Concentration) / reading, while | [g2|MIND] CONFUSION, thinking of it agg. / walking, while | [g2|MIND] CONFUSION, thinking of it agg. / amel. | [g2|MIND] DANCING / grotesque | [g2|MIND] DELIRIUM"
agar-em,1,1,1,MIND(1),,"ANXIETY, chill, during / cold drinks, amel.","ANXIETY, chill, during / cold drinks, amel.",
agar-ph,1,2,1,MIND(1),,,"ANSWERS, abruptly, shortly, curtly / slowly","[g2|MIND] ANSWERS, abruptly, shortly, curtly / slowly"
agg,1,1,1,EYE(1),"INFLAMMATION, afternoon, 4 p.m. / washing agg.",,,
agn,270,2,21,HEAD(61); MIND(59); ABDOMEN(18); NOSE(15); STOMACH(15); RECTUM(15),"CONSTIPATION, alternate days, agg. / soft stool | CONSTIPATION, alternate days, agg. / stool recedes | CONSTRICTION, morning (agg.) / Forehead | CONSTRICTION, morning (agg.) / reading while | HÆMORRHOIDS, ulcerating / walking agg. | PAIN, cutting, hypochondria, coughing / dragging, bearing down | PAIN, pressing, motion, on (agg.) / motion, on | PAIN, pressing, motion, on (agg.) / reading, while | PAIN, pressure, cold hand amel. / reading agg. | PAIN, sore, bruised, occiput, motion, on (agg.) / Brain | PAIN, sore, bruised, occiput, motion, on (agg.) / Forehead | PAIN, sore, bruised, occiput, motion, on (agg.) / Stitching | PAIN, sore, bruised, occiput, motion, on (agg.) / motion, on | PAIN, stunning, stupefying, cold agg. / Tearing, rending | PAIN, stunning, stupefying, cold agg. / motion","ITCHING, rubbing amel. / cheeks | ITCHING, rubbing amel. / stinging | LEWDNESS (See Shameless) | PAIN, drawing, night / pressure amel. | PAIN, forehead, eyes, above, left, then right / cold applications amel. | PAIN, in / amel. | PAIN, listening to reading and talking / amel. | PAIN, lying, with legs drawn up amel. / bent over | PAIN, occiput, bending head backward, amel. / pulsating | PAIN, pressure, cold hand amel. / reading agg. | PAIN, rising, from sitting, amel. / during","ABSENT-MINDED (See Forgetful) | ABSENT-MINDED (See Forgetful) / reading, while | ANGER, irascibility (See Irritability and Quarrelsome) | ANXIETY | BUSINESS, averse to / incapacity for | CONCENTRATION active / difficult | CONCENTRATION active / studying, reading, etc., while | CONFIDENCE, want of self | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / reading, while | CONTEMPTUOUS (See Scorn) / self | COWARDICE | DEATH, desires (See Loathing of Life) | DEATH, desires (See Loathing of Life) / believes that she will die soon, and that she cannot be helped | DEATH, desires (See Loathing of Life) / presentiment of","[g2|MIND] ABSENT-MINDED (See Forgetful) / reading, while | [g2|MIND] BUSINESS, averse to / incapacity for | [g2|MIND] CONFIDENCE, want of self | [g2|MIND] CONTEMPTUOUS (See Scorn) / self | [g2|MIND] DEATH, desires (See Loathing of Life) | [g2|MIND] DEATH, desires (See Loathing of Life) / believes that she will die soon, and that she cannot be helped | [g2|MIND] DELUSIONS, enlarged, eyes are / existence, doubt if anything had | [g2|MIND] DELUSIONS, walk, cannot walk, must run or hop / wealth, imaginations of | [g2|MIND] DISCONTENTED, displeased, dissatisfied, etc. / himself, with | [g2|MIND] DISCOURAGED / alternating with haughtiness | [g2|MIND] EXHILARATION / alternating with sadness | [g2|MIND] FEAR, dawn, of the return of / soon, that she will die | [g2|MIND] FEAR, putrefy, body will / waking, on | [g2|MIND] FORGETFUL, mental exertion, from / purchases, of, goes off and leaves them | [g2|MIND] INDIFFERENCE, apathy, etc. / cheerfulness | [g2|MIND] INDIFFERENCE, complain, does not, unless questioned, then say nothing of his / external things, to | [g2|MIND] LEWDNESS (See Shameless) | [g2|MIND] MEMORY active (See Ideas) / business, for | [g2|MIND] MEMORY active (See Ideas) / do, for what was about to | [g2|MIND] SADNESS, mental depression / daytime"
aid,1,1,1,MIND(1),,,SHRIEKING,
ail,310,2,20,HEAD(43); FACE(40); THROAT(37); MIND(29); STOMACH(27); NOSE(26),"AGGLUTINATED / morning | CONSTIPATION, alternate days, agg. / alternating with diarrhœa | CONSTRICTION, morning (agg.) / Forehead | CONSTRICTION, morning (agg.) / Temples | PAIN, cutting, sleep, during (agg.) / Occiput | PAIN, cutting, sleep, during (agg.) / Temples | PAIN, morning (agg.) / waking, on | PAIN, sore, clothing agg. / stitching | PAIN, stitching, jaws, joints of / lying agg. | PAIN, stunning, stupefying, cold agg. / Tearing, rending | PAIN, stunning, stupefying, cold agg. / evening | PAIN, weather, warm, begins with the (agg.) / Forehead, in | PAIN, yawning, when (agg.) / swallowing, on | STAGGERING, with","HEAVINESS, motion, of eyes, on / pressure amel. | PAIN / warmth amel. | PAIN, air, open, amel. / amel. | PAIN, air, open, amel. / lying, while | PAIN, bending double, amel. / diarrhœa, as if, would come on | PAIN, forehead, business men / amel. | PAIN, hypochondria, lying on back, amel. / Hypogastrium | PAIN, occiput, bending head backward, amel. / sleep, after | PAIN, pears, after eating / amel. | PAIN, rising, from sitting, amel. / after | PAIN, stitching, jaws, joints of / walking amel.","ANXIETY | ANXIETY / morning | CONCENTRATION active / difficult | CONFUSION of mind (See Concentration) | DELIRIUM | DELIRIUM / maniacal | DELIRIUM / muttering | DELUSIONS, poisoned, thought he had been / running across the room | DELUSIONS, travelling, of, through worlds / unreal, everything seems | DREAM, as if in a | HEEDLESS | INDIFFERENCE, apathy, etc. | INDIFFERENCE, complain, does not, unless questioned, then say nothing of his / everything, to | INDOLENCE, aversion to work | INSANITY, madness","[g2|MIND] ANXIETY / morning | [g2|MIND] DELIRIUM / muttering | [g2|MIND] DELUSIONS, travelling, of, through worlds / unreal, everything seems | [g2|MIND] MISTAKES in calculating | [g2|MIND] MOANING, groaning (See Lamenting) / sleep, during | [g2|MIND] MUTTERING (See Delirium) | [g2|MIND] RESTLESSNESS, nervousness / morning | [g2|MIND] UNREAL, everything seems | [g2|VERTIGO] VERTIGO | [g2|VERTIGO] VOMITING, before / with | [g2|HEAD] FULLNESS, morning, 10 a.m. to 10 p.m. / wine, after | [g2|HEAD] HEAT / burning | [g2|HEAD] HEAVINESS, motion, of eyes, on / pressure amel. | [g2|HEAD] PAIN, forenoon, 8 a.m. / 1 p.m. | [g2|HEAD] PAIN, listening to reading and talking / back, on, while | [g2|HEAD] PAIN, listening to reading and talking / pains in back, with | [g2|HEAD] PAIN, forehead, right side / afternoon | [g2|HEAD] PAIN, forehead, business men / amel. | [g2|HEAD] PAIN, occiput, sides of, waking, after / waking, on | [g2|HEAD] PAIN, dull, occiput / Temples"
air,2,1,2,HEAD(1); FACE(1),"PAIN (aching, prosopalgia, etc.) / air, open, agg. | PAIN, sore, bruised, occiput, motion, on (agg.) / air, open",,,
albuminous,1,2,1,URINE(1),,,,"[g2|URINE] ALBUMINOUS / cold and dampness, from exposure to"
alco,5,2,1,MIND(5),,,"DELUSIONS, poisoned, thought he had been / murderers, robbers, by | DELUSIONS, poisoned, thought he had been / ship, thinks they are on board of, in a storm | DELUSIONS, walk, cannot walk, must run or hop / wealth, imaginations of | FEAR, putrefy, body will / unaccountable | UNTRUTHFUL","[g2|MIND] DELUSIONS, poisoned, thought he had been / murderers, robbers, by | [g2|MIND] DELUSIONS, poisoned, thought he had been / ship, thinks they are on board of, in a storm | [g2|MIND] FEAR, putrefy, body will / unaccountable | [g2|MIND] UNTRUTHFUL"
alet,21,2,10,STOMACH(6); MIND(2); EAR(2); MOUTH(2); ABDOMEN(2); RECTUM(2),"PAIN, cutting, hypochondria, coughing / dragging, bearing down | PAIN, morning (agg.) / morning | PAIN, warmth of bed agg. / behind ear",,"CONCENTRATION active / difficult | DISCONTENTED, displeased, dissatisfied, etc.","[g2|STOMACH] ERUCTATIONS, food (regurgitation), eating, immediately after / frothy | [g2|BLADDER] URINATION, interrupted, violent contraction in region of bladder, by / sneezing, when | [g2|BLADDER] URINATION, interrupted, violent contraction in region of bladder, by / walking, while"
all-c,447,2,21,NOSE(63); HEAD(59); ABDOMEN(54); STOMACH(41); TEETH(26); RECTUM(26),"CHOKING, clothing agg. / os hyoids, region of | CONFUSION, thinking of it agg. / wine, after | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / band or hoop | CORYZA, swallowing agg. / N.E., after | CORYZA, swallowing agg. / extending to chest | CORYZA, swallowing agg. / warm room | CORYZA, swallowing agg. / wet, during | PAIN / walking agg. | PAIN, bending head, to one side (agg.) / catarrhal | PAIN, bending head, to one side (agg.) / closing eyes, on | PAIN, clothing about the neck agg. / coryza, with | PAIN, cramping, griping, sitting, while (agg.) / wet, getting feet | PAIN, occiput, warm clothing agg. / forenoon","CORYZA, daytime / amel. | DISTENSION / flatus, passing, amel. | ERUCTATIONS / ameliorate | FLATUS / amel. | HEAT, cold water, amel. / water | NAUSEA, abdomen, on compressing / amel. | PAIN / amel. | PAIN, air, open, amel. / amel. | PAIN, bending double, amel. / cold, from taking | PAIN, chewing (See Masticating) / cold water amel. | PAIN, cramping, cold drinks, after / amel. | PAIN, cramping, griping, bending forward amel. / after | PAIN, cramping, griping, bending forward amel. / cold, after taking | PAIN, cutting, lip, upper / cold air amel. | PAIN, doubling up (See Bending) / amel.","ABSENT-MINDED (See Forgetful) | ANGER, irascibility (See Irritability and Quarrelsome) | ANXIETY | CONCENTRATION active / difficult | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / coffee, after | CONFUSION, thinking of it agg. / wine, after | DESPAIR | DISCONTENTED, displeased, dissatisfied, etc. | DULLNESS, sluggishness, difficulty of thinking and comprehending / afternoon | DULLNESS, sluggishness, difficulty of thinking and comprehending / wine, after | FOOLISH behavior (See Childish) | INDOLENCE, aversion to work / morning | INSANITY, madness | MISANTHROPY (See Hatred)","[g2|MIND] CONFUSION of mind (See Concentration) / coffee, after | [g2|MIND] CONFUSION, thinking of it agg. / wine, after | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending / afternoon | [g2|MIND] INDOLENCE, aversion to work / morning | [g2|MIND] MISTAKES in calculating / spelling, in | [g2|MIND] MISTAKES in calculating / words, misplacing | [g2|HEAD] FULLNESS, morning, 10 a.m. to 10 p.m. / coughing, on | [g2|HEAD] HEAT, cold water, amel. / water | [g2|HEAD] HEAVINESS (See Pressing) / afternoon | [g2|HEAD] PAIN, forenoon, 8 a.m. / evening | [g2|HEAD] PAIN, alcoholics (See Spirituous Liquor) / beer, from | [g2|HEAD] PAIN, bending head, to one side (agg.) / closing eyes, on | [g2|HEAD] PAIN, clothing about the neck agg. / coryza, with | [g2|HEAD] PAIN, listening to reading and talking / amel. | [g2|HEAD] PAIN, walking, compelled to stand or walk / warm room agg. | [g2|HEAD] PAIN, weather, warm, begins with the (agg.) / winking | [g2|HEAD] PAIN, weather, warm, begins with the (agg.) / touch, from | [g2|HEAD] PAIN, forehead, eyes, above, numbness, followed by / nose | [g2|HEAD] PAIN, forehead, eyes, above, numbness, followed by / evening | [g2|HEAD] PAIN, forehead, eyes, above, numbness, followed by / amel."
all-s,116,2,19,STOMACH(16); MIND(12); MOUTH(11); HEAD(9); BLADDER(9); URINE(8),"AGGLUTINATED | PAIN, excitement, from (agg.) / paroxysmal (See Intermittent) | PAIN, morning (agg.) / morning | PAIN, pressing, pressure agg. (See Soreness) / sore, bruised, beaten (tenderness) | PULSATING, sides, motion agg. / Temples","MENSES, before / amel. | PAIN, listening to reading and talking / amel., when flow begins | SADNESS, morning, rising, after, amel. / alone, when","COMPANY aversion to / desire for | ESCAPE, attempts to | FEAR (See Anxiety) / alone, of being (See Company) | FEAR, dawn, of the return of / death, of | FEAR, labor, after / medicine, of taking too much | FEAR, labor, after / poisoned, of being | IMPATIENCE | RESTLESSNESS, nervousness / alone, when | SADNESS, morning, rising, after, amel. / alone, when | SENSITIVE, oversensitive (See Offended) / moral impressions, to | THOUGHTS of death (See Death) / wandering | WEEPING, looked at, when / sleep, in","[g2|MIND] FEAR, labor, after / medicine, of taking too much | [g2|MIND] FEAR, labor, after / poisoned, of being | [g2|MIND] RESTLESSNESS, nervousness / alone, when | [g2|MIND] SENSITIVE, oversensitive (See Offended) / moral impressions, to | [g2|MIND] WEEPING, looked at, when / sleep, in | [g2|VERTIGO] EXERTION, on / vision | [g2|VERTIGO] LOOKING with eyes turned / steadily | [g2|VERTIGO] MENSES, before / amel. | [g2|HEAD] DANDRUFF | [g2|HEAD] HEAVINESS, afternoon, 4 p.m. / after | [g2|HEAD] PAIN, listening to reading and talking / amel., when flow begins | [g2|HEAD] PAIN, forehead, eyes, above, numbness, followed by / lying on back | [g2|EYE] INFLAMMATION, afternoon, 4 p.m. / night | [g2|EYE] INFLAMMATION, afternoon, 4 p.m. / when trying to read | [g2|EYE] TEARS, acrid | [g2|EAR] ERUPTIONS, behind ears, moist, sticky / scurfy | [g2|EAR] WAX, black / hardened | [g2|HEARING] LOST / left | [g2|NOSE] OZÆNA | [g2|NOSE] PAIN, stitching, blowing nose / junction of, with face"
aloe,894,2,22,RECTUM(163); ABDOMEN(160); HEAD(123); MIND(98); STOMACH(82); STOOL(40),"ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / standing, while | ANXIETY, flatus, from (agg.) / walking, while | ANXIETY, flatus, from (agg.) / work, during manual | CONSTIPATION, alternate days, agg. / alternating with diarrhœa | CONSTIPATION, alternate days, agg. / constant desire | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTIPATION, alternate days, agg. / insufficient, incomplete, unsatisfactory stools | CONSTIPATION, alternate days, agg. / urinating, can pass stool only when | CONSTRICTION, morning (agg.) / Forehead | CRAWLING in (See Formication, Itching) / motion agg. | CRAWLING in (See Formication, Itching) / standing agg. | CRAWLING in (See Formication, Itching) / urinating agg. | CRAWLING in (See Formication, Itching) / walking agg.","CORYZA, after amel. | CRAWLING in (See Formication, Itching) / abdomen, on the, amel. | DISCONTENTED, displeased, dissatisfied, etc. / amel. | ERUCTATIONS / ameliorate | FLATUS / amel. | HEAVINESS, weight, oppression (See Fullness) / eructations amel. | HÆMORRHOIDS, bluish / cold amel. | INDOLENCE, afternoon / amel. | IRRITABILITY (See Anger) / amel. in | ITCHING / cold bathing amel. | MOTIONS, movements, etc., in head (See Knocking, Looseness, Shaking, Waving, etc.) : / amel., after | PAIN / amel. | PAIN / cold application amel. | PAIN, bending double, amel. / amel. | PAIN, bending double, amel. / cough, during","ABSORBED, buried in thought | ABSORBED, buried in thought / eating, after | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / contradiction, from | ANGUISH | ANXIETY | ANXIETY, chill, during / after | ANXIETY, flatus, from (agg.) / motion, from | ANXIETY, flatus, from (agg.) / standing, while | ANXIETY, flatus, from (agg.) / walking, while | ANXIETY, flatus, from (agg.) / work, during manual | CHEERFUL, daytime / evening | CHEERFUL, daytime / waking, on | CHEERFUL, gay, happy (See Mirth) | COMPANY aversion to","[g2|MIND] ABSORBED, buried in thought / eating, after | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / contradiction, from | [g2|MIND] ANXIETY, chill, during / after | [g2|MIND] ANXIETY, flatus, from (agg.) / standing, while | [g2|MIND] ANXIETY, flatus, from (agg.) / work, during manual | [g2|MIND] CHEERFUL, daytime / waking, on | [g2|MIND] CONFUSION of mind (See Concentration) / evening | [g2|MIND] CONTRADICTION, is intolerant of / has to restrain himself to keep from violence | [g2|MIND] CURSING | [g2|MIND] DISCONTENTED, displeased, dissatisfied, etc. / amel. | [g2|MIND] DISCONTENTED, displeased, dissatisfied, etc. / rainy weather, during | [g2|MIND] EXCITEMENT, excitable / afternoon | [g2|MIND] EXCITEMENT, menses, during / urination, during | [g2|MIND] FEAR, dawn, of the return of / emission, after an | [g2|MIND] FEAR, labor, after / men, of (See People) | [g2|MIND] FEAR, labor, after / noise, from | [g2|MIND] FRIGHTENED easily (See Starting) / nocturnal emissions, after | [g2|MIND] IDEAS abundant, forenoon / night | [g2|MIND] IMBECILITY | [g2|MIND] INDIFFERENCE, apathy, etc. / evening"
alternating,1,1,1,MIND(1),,,"RAGE, fury (See Insanity, Mania, Delirium) / alternating, affectionate disposition, with",
alum,2005,2,22,HEAD(359); MIND(268); STOMACH(181); ABDOMEN(174); FACE(111); RECTUM(111),"AGGLUTINATED | AGGLUTINATED / morning | AGGLUTINATED / night | ANXIETY, evening, bed, in (agg.) / 4 a.m. | ANXIETY, evening, bed, in (agg.) / after | ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, evening, bed, in (agg.) / waking, on | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / house, in | ANXIETY, flatus, from (agg.) / noise, from | ANXIETY, flatus, from (agg.) / on entering | ANXIETY, flatus, from (agg.) / sleep, before | ANXIETY, flatus, from (agg.) / speaking, when","ANXIETY, evening, bed, in (agg.) / amel. | BREAKFAST, during / amel. | CLOSING eyes, on / amel. | CRAWLING in (See Formication, Itching) / abdomen, on the, amel. | CRAWLING in (See Formication, Itching) / amel. | CRAWLING in (See Formication, Itching) / warm application amel. | DIM, left eye / room, in, amel. | DIM, left eye / wiping eyes amel. | DISTENSION / amel. | EATING, while / amel. | ERUCTATIONS / ameliorate | FALLING, forward, sensation of, in brain, pain, as if fell forward and came up again / raising head amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / abdomen, from | HEAT, cold water, amel. / after","ABSENT-MINDED (See Forgetful) | ABSTRACTION of mind | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger with anxiety | ANGER, irascibility (See Irritability and Quarrelsome) / ailments after anger, vexation, etc. | ANGER, irascibility (See Irritability and Quarrelsome) / silent grief | ANGUISH | ANGUISH / 4 a.m. | ANGUISH / morning | ANSWERS, abruptly, shortly, curtly / aversion to | ANXIETY | ANXIETY / evening | ANXIETY / forenoon | ANXIETY / morning | ANXIETY / waking, on | ANXIETY, chill, during / conscience, of (as if guilty of a crime)","[g2|MIND] ABSTRACTION of mind | [g2|MIND] ANGER, irascibility (See Irritability and Quarrelsome) / silent grief | [g2|MIND] ANGUISH / morning | [g2|MIND] ANGUISH / 4 a.m. | [g2|MIND] ANXIETY / waking, on | [g2|MIND] ANXIETY, evening, bed, in (agg.) / waking, on | [g2|MIND] ANXIETY, evening, bed, in (agg.) / after | [g2|MIND] ANXIETY, evening, bed, in (agg.) / 4 a.m. | [g2|MIND] ANXIETY, evening, bed, in (agg.) / amel. | [g2|MIND] ANXIETY, chill, during / conscience, of (as if guilty of a crime) | [g2|MIND] ANXIETY, chill, during / conversation, from | [g2|MIND] ANXIETY, chill, during / fits, with | [g2|MIND] ANXIETY, flatus, from (agg.) / house, in | [g2|MIND] ANXIETY, flatus, from (agg.) / on entering | [g2|MIND] ANXIETY, flatus, from (agg.) / sleep, before | [g2|MIND] ANXIETY, flatus, from (agg.) / speaking, when | [g2|MIND] ANXIETY, flatus, from (agg.) / thinking about it, from | [g2|MIND] ANXIETY, flatus, from (agg.) / urination, before | [g2|MIND] BED, aversion to (shuns) / desires to remain in | [g2|MIND] BLOOD, cannot look at, or a knife"
